 
关闭 关闭
midleading https://zh.wikisource.org/wiki/User:Midleading
投票 https://zh.wikisource.org/wiki/Wikisource:申请成为管理员#user:midleading
跳到导航 https://zh.wikisource.org/wiki/Portal:小说#mw-head
跳到搜索 https://zh.wikisource.org/wiki/Portal:小说#searchInput
1 志怪小說 https://zh.wikisource.org/wiki/Portal:小说#志怪小說
2 傳奇小說 https://zh.wikisource.org/wiki/Portal:小说#傳奇小說
3 話本小說 https://zh.wikisource.org/wiki/Portal:小说#話本小說
4 神魔小說 https://zh.wikisource.org/wiki/Portal:小说#神魔小說
5 歷史演義 https://zh.wikisource.org/wiki/Portal:小说#歷史演義
6 英雄傳奇 https://zh.wikisource.org/wiki/Portal:小说#英雄傳奇
7 公案小說 https://zh.wikisource.org/wiki/Portal:小说#公案小說
8 世情小說 https://zh.wikisource.org/wiki/Portal:小说#世情小說
9 古典白話短篇小說集 https://zh.wikisource.org/wiki/Portal:小说#古典白話短篇小說集
10 諷刺小說 https://zh.wikisource.org/wiki/Portal:小说#諷刺小說
11 譴責小說 https://zh.wikisource.org/wiki/Portal:小说#譴責小說
编辑 https://zh.wikisource.org/w/index.php?title=Portal:小说&action=edit&section=1
搜神記 https://zh.wikisource.org/wiki/搜神記
異苑 https://zh.wikisource.org/wiki/異苑
談藪 https://zh.wikisource.org/wiki/談藪
雲仙雜記 https://zh.wikisource.org/wiki/雲仙雜記
獨異志 https://zh.wikisource.org/wiki/獨異志
廣異記 https://zh.wikisource.org/wiki/廣異記
冥報記 https://zh.wikisource.org/wiki/冥報記
括異誌 https://zh.wikisource.org/wiki/括異誌
稽神錄 https://zh.wikisource.org/wiki/稽神錄
夷堅志 https://zh.wikisource.org/wiki/夷堅志
續夷堅志 https://zh.wikisource.org/wiki/續夷堅志
聊齋誌異 https://zh.wikisource.org/wiki/聊齋誌異
雲齊廣錄 https://zh.wikisource.org/w/index.php?title=雲齊廣錄&action=edit&redlink=1
鴛渚誌餘雪窗談異 https://zh.wikisource.org/w/index.php?title=鴛渚誌餘雪窗談異&action=edit&redlink=1
益智錄 https://zh.wikisource.org/wiki/益智錄
蟫史 https://zh.wikisource.org/wiki/蟫史
编辑 https://zh.wikisource.org/w/index.php?title=Portal:小说&action=edit&section=2
玄怪錄 https://zh.wikisource.org/wiki/玄怪錄
續玄怪錄 https://zh.wikisource.org/wiki/續玄怪錄
宣室志 https://zh.wikisource.org/wiki/宣室志
定命錄 https://zh.wikisource.org/wiki/定命錄
燕丹子 https://zh.wikisource.org/wiki/燕丹子
遊仙窟 https://zh.wikisource.org/wiki/遊仙窟
枕中記 https://zh.wikisource.org/wiki/枕中記
集異記 https://zh.wikisource.org/wiki/集異記
南柯太守傳 https://zh.wikisource.org/wiki/南柯太守傳
